cluster	matrix_name	transcripts_ids	Gene	Enrichment	Adjust.P.value	Description
neoblast	G35912	SmLINC166531-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166531-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166532-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166532-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166532-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166532-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166533-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166533-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166533-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166533-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166534-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166534-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166534-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166534-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166535-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166535-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166535-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166535-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166536-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166536-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166536-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166536-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166538-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166538-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166538-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166538-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166539-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166539-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166539-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166539-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166540-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166540-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166540-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166540-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
eled+ neoblasts	G35912	SmLINC166541-IBu	G35912	0.747763171521893	4.93001962532834e-88	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166541-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166541-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166541-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
neoblast	G35912	SmLINC166542-IBu	G35912	1.1293561525462	0	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	G35912	SmLINC166542-IBu	G35912	0.750577304942754	1.50354791857345e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
GSCs	G35912	SmLINC166542-IBu	G35912	0.513389915955317	9.13316034548656e-52	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
